0.6614912 65
1.741235 64
2.729946 63
3.810714 63
4.80041 63
5.790118 64
6.824858 65
7.860582 65
8.89632 66
9.887027 67
10.92077 67
11.95549 68
12.99023 68
13.97994 67
15.01768 67
16.05041 66
17.08614 64
18.07484 63
19.10958 62
20.19035 62
21.18006 63
22.21478 64
23.25052 65
24.24123 65
25.36503 65
26.35572 64
27.3014 63
28.38017 63
29.37087 64
30.44964 65
31.39532 65
32.43004 65
33.46678 64
34.50052 62
35.53424 61
36.52495 60
37.56069 60
38.59442 61
39.62916 63
40.61987 63
41.65461 64
42.69033 64
